Site,Seagrass,Sample_ID,Date,Days,Season,Order#,Harpacticoid,Cyclopoida,Calanoida,Ostracod,Fish eggs,Appendicularians,Tanaidacea,Amphipod,Decapod,Nematoda,Cumacea,Ascidicea_Larva,Isopoda,Fish_Larvae,Mysida,Total_Abundance
BB,HS,BB-HS2,2/15/2021,66,Winter,1,6,2,6,9,0,2,0,0,0,3,0,0,0,0,3,31
BB,HS,BB-HS2,9/2/2021,71,Fall,2,11,22,18,12,0,3,0,1,0,0,0,1,1,0,0,69
BB,HS,BB-HS1,10/10/2020,78,Fall,3,12,37,25,0,0,2,7,0,0,0,1,0,0,0,0,84
BB,HS,BB-HS1,2/15/2021,66,Winter,4,17,16,27,2,0,3,5,1,3,1,0,0,0,0,0,75
BB,HS,BB-HS2,12/11/2020,62,Fall,5,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,28
BB,HS,BB-HS2,4/30/2021,74,Spring,6,0,4,14,1,2,2,0,0,0,0,0,0,0,0,0,23
BB,HS,BB-HS2,10/10/2020,78,Fall,7,4,4,6,1,6,5,0,1,0,0,0,0,0,0,0,27
FB,HS,FB-HS,9/2/2021,71,Fall,11,14,3,3,2,0,0,0,0,0,1,0,0,0,0,0,23
FB,HS,FB-HS,9/2/2021,71,Fall,12,21,23,5,1,0,4,1,1,0,1,1,0,0,0,0,58
FB,HS,FB-HS,4/30/2021,74,Spring,13,39,32,3,11,0,0,5,1,1,1,1,0,0,0,0,94
FB,HS,FB-HS,2/15/2021,66,Winter,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FB,HS,FB-HS,7/23/2020,53,Summer,18,9,1,3,35,0,1,2,0,0,0,0,0,0,0,0,51
LB,HS,LB-HS,9/2/2021,71,Fall,22,15,3,2,16,0,5,1,2,2,4,0,0,0,0,0,50
LB,HS,LB-HS,9/2/2021,71,Fall,23,21,3,3,0,0,1,1,0,1,1,0,0,0,2,0,33
LB,HS,LB-HS,7/23/2020,53,Summer,27,6,1,1,3,3,9,3,4,0,0,1,0,0,0,0,31
LB,HS,LB-HS,4/30/2021,74,Spring,32,7,2,2,16,0,11,1,1,5,0,0,0,0,0,0,45
SB,HS,SB-HS,9/2/2021,71,Fall,34,26,6,1,2,0,0,2,0,3,5,0,1,0,0,0,46
SB,HS,SB-HS,4/30/2021,74,Spring,36,12,31,5,0,0,0,0,0,1,0,0,0,0,0,0,49
SB,HS,SB-HS,10/9/2020,78,Fall,37,11,3,6,7,0,0,0,0,0,0,0,1,0,0,0,28
SB,HS,SB-HS,4/30/2021,74,Spring,42,8,12,9,1,2,0,0,1,0,0,0,0,0,0,0,33
SI,HS,SI-HS,4/30/2021,74,Spring,44,10,4,4,4,0,0,0,0,4,0,0,0,0,0,0,26
SI,HS,SI-HS,4/15/2021,59,Spring,45,9,4,4,0,0,1,0,2,0,0,0,0,0,0,0,20
SI,HS,SI-HS,4/30/2021,74,Spring,47,17,4,6,1,0,12,0,0,0,0,0,0,0,0,0,40
SI,HS,SI-HS2,7/23/2020,53,Summer,48,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
SI,HS,SI-HS1,4/30/2021,74,Spring,61,6,0,4,2,0,1,0,1,0,3,1,0,0,0,0,18
FB,SF,FB-SF,2/15/2021,66,Winter,10,6,6,3,1,0,0,0,0,0,0,0,0,0,0,0,16
FB,SF,FB-SF,10/9/2020,78,Fall,14,2,3,9,6,3,0,0,2,0,0,1,1,2,0,0,29
FB,SF,FB-SF,4/27/2021,71,Spring,16,4,1,0,1,7,0,1,2,0,0,0,0,0,0,0,16
FB,SF,FB-SF,10/9/2020,78,Fall,17,9,1,2,0,7,0,0,0,0,0,0,0,0,0,0,19
FB,SF,FB-SF,10/9/2020,78,Fall,20,1,1,0,1,0,0,0,2,1,0,1,0,1,0,0,8
LB,SF,LB-SF,4/30/2021,74,Spring,24,0,0,12,8,0,1,3,3,1,0,0,0,0,0,0,28
LB,SF,LB-SF,7/23/2020,53,Summer,28,3,8,4,3,3,3,2,0,5,0,0,1,0,0,0,32
LB,SF,LB-SF,10/9/2020,78,Fall,29,11,26,1,0,3,0,2,2,0,0,1,1,2,0,0,49
SB,SF,SB-SF,10/9/2020,78,Fall,33,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9
SB,SF,SB-SF,7/23/2020,53,Summer,38,8,1,16,1,0,0,0,0,0,0,1,1,0,0,0,28
SB,SF,SB-SF,10/9/2020,78,Fall,39,10,3,22,6,0,0,0,1,0,0,1,0,0,0,0,43
SB,SF,SB-SF,7/23/2020,53,Summer,40,3,3,3,8,0,0,0,4,4,0,1,0,3,0,0,29
SB,SF,SI-SF,2/15/2021,66,Winter,41,8,11,6,3,0,0,0,5,1,0,1,1,0,0,0,36
SI,SF,SI-SF,4/30/2021,74,Spring,53,1,3,1,3,0,0,0,1,0,0,0,0,0,0,0,9
SI,SF,SI-SF3,10/9/2020,78,Fall,55,3,0,1,6,0,0,0,0,0,0,0,1,0,0,0,11
SI,SF,SI-SF,10/10/2020,78,Fall,56,16,2,3,4,0,0,0,0,0,0,0,1,0,0,0,26
SI,SF,SI-SF,4/30/2021,74,Spring,57,6,0,0,5,0,0,0,1,0,0,0,1,0,0,0,13
SI,SF,SI-SF,2/15/2021,66,Winter,58,0,3,3,0,2,0,0,0,0,0,1,0,0,0,0,9
SI,SF,SI-SF,10/10/2020,78,Fall,59,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,8
SI,SF,SI-SF3,7/23/2020,53,Summer,60,8,0,0,3,84,2,1,1,0,1,0,1,1,2,0,104
FB,TT,FB-TT,4/30/2021,74,Spring,8,6,9,2,0,0,0,0,0,2,1,0,0,0,0,0,20
FB,TT,FB-TT,2/15/2021,66,Winter,9,6,3,1,1,0,0,0,0,0,1,0,0,0,0,0,12
FB,TT,FB-TT,2/15/2021,66,Winter,19,21,7,8,6,0,3,0,4,1,0,0,0,1,0,0,51
LB,TT,LB-TT,4/27/2021,71,Spring,21,36,10,12,4,0,11,4,0,4,3,0,0,0,0,0,84
LB,TT,LB-TT,7/23/2020,53,Summer,25,25,12,8,4,0,2,4,0,5,0,0,0,0,0,0,60
LB,TT,LB-TT,10/9/2020,78,Fall,26,16,11,19,2,0,7,11,1,4,0,0,1,0,0,0,72
LB,TT,LB-TT,2/15/2021,66,Winter,30,6,2,0,0,0,1,4,1,3,0,0,1,0,0,0,18
LB,TT,LB-TT,2/15/2021,66,Winter,31,9,3,15,3,0,5,3,0,0,0,0,0,0,0,0,38
SB,TT,SB-TT,9/2/2021,71,Fall,35,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,11
SB,TT,SB-TT,3/30/2021,44,Spring,43,10,1,9,1,0,0,0,1,0,0,0,0,0,0,0,22
SI,TT,SI-TT,9/2/2021,71,Fall,46,33,4,6,2,0,2,0,0,1,1,3,0,0,2,0,54
SI,TT,SI-TT1,10/10/2020,78,Fall,49,6,1,3,1,0,0,0,0,0,0,1,0,1,0,0,13
SI,TT,SI-TT3,7/23/2020,53,Summer,50,1,2,3,0,0,1,0,0,0,0,2,1,0,0,0,10
SI,TT,SI-TT,7/23/2020,53,Summer,51,6,2,0,0,8,2,0,2,0,0,2,0,0,0,0,22
SI,TT,SI-TT,10/9/2020,78,Fall,52,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,6
SI,TT,SI-TT,7/23/2020,53,Summer,54,7,1,1,0,10,0,1,1,1,0,0,1,0,0,0,23
